Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Hyundai,VenueSX 1.0  Turbo,2022,Bangalore,11500,petrol,manual,991000,16876.0
Hyundai,VenueSX (O) 1.0 Turbo iMT,2022,Bangalore,38000,petrol,manual,1070000,18402.0
Renault,KwidRXT 1.0 SCE Special,2018,Bangalore,90500,petrol,manual,315000,5364.0
Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Bangalore,70000,petrol,automatic,859000,14628.0
Hyundai,i20Asta 1.4 CRDI,2014,Bangalore,126500,diesel,manual,472000,10130.0
Kia,SonetHTX 1.0 iMT,2021,Bangalore,31000,petrol,manual,931000,15854.0
Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,4500,hybrid,automatic,2121000,36478.0
Hyundai,VenueSX 1.0 (O) Turbo,2020,Bangalore,44000,petrol,manual,926000,15769.0
Maruti,Vitara BrezzaZDi+ Dual Tone,2018,Bangalore,115500,diesel,manual,768000,13078.0
Ford,EcoSportTrend 1.5L TDCi,2017,Bangalore,89000,diesel,manual,595000,10132.0
Tata,HarrierXZ Plus,2023,Bangalore,31500,diesel,manual,1741000,29943.0
Hyundai,Grand i10Asta AT 1.2 Kappa VTVT,2015,Bangalore,92000,petrol,automatic,446000,8118.0
Honda,CityVX,2017,Bangalore,88500,petrol,manual,530000,9025.0
Hyundai,Elite i20Asta 1.2 (O),2015,Bangalore,25500,petrol,manual,593000,10794.0
Maruti,S-CrossDelta 1.3,2017,Bangalore,13500,diesel,manual,689000,11733.0
Tata,HarrierXZ,2019,Bangalore,30500,diesel,manual,1361000,23405.0
Maruti,XL6Alpha AT Petrol,2019,Bangalore,51500,petrol,automatic,911999,15530.0
Hyundai,i20Asta 1.4 CRDI,2012,Bangalore,111000,diesel,manual,391000,14871.0
Hyundai,EonSportz,2013,Bangalore,84500,petrol,manual,252999,6393.0
Tata,TiagoRevotron XZ Plus,2019,Bangalore,14500,petrol,manual,539000,9178.0
Nissan,Micra ActiveXV,2014,Bangalore,46500,petrol,manual,293000,7897.0
Kia,SeltosGTX Plus DCT,2020,Bangalore,109500,petrol,automatic,1280000,22013.0
Hyundai,Creta1.6 SX Plus Auto Petrol,2016,Bangalore,60000,petrol,automatic,919999,15667.0
Kia,SonetHTX 1.5,2021,Bangalore,57500,diesel,manual,1002000,17063.0
Renault,DusterRXS Opt CVT,2019,Bangalore,42500,petrol,automatic,745000,12686.0
